"","lat","lon","lwp","lwp.25","lwp.75","sat","tdiff","time.rel"
"58",76.531,7.55,38.98264665189,29.9999961853027,50,"MAC-LWP",-3,-14
"59",75.833,8.135,46.2100655578432,40,50,"MAC-LWP",-2,-13
"60",75.19,8.812,52.7236092439172,40,60,"MAC-LWP",-1,-12
"61",74.579,9.519,58.1210598491487,50,60,"MAC-LWP",0,-11
"62",73.982,10.246,55.1747267216812,50,60,"MAC-LWP",1,-10
"63",73.401,10.929,48.381492638588,41.2299957275391,53.5199966430664,"MAC-LWP",2,-9
"64",72.843,11.563,41.3626439048023,37.8369979858398,47.8369979858398,"MAC-LWP",3,-8
"65",78.246,6.588,0,0,0,"MAC-LWP",-3,-16
"66",77.34,7.066,11.8390136446272,0,19.6245718002319,"MAC-LWP",-2,-15
"67",76.531,7.55,42.6392077570376,35.2494316101074,50,"MAC-LWP",-1,-14
"68",75.833,8.135,50.7534652891613,43.6244297027588,56.1244325637817,"MAC-LWP",0,-13
"69",75.19,8.812,59.2527583366217,50,66.3640174865723,"MAC-LWP",1,-12
"70",74.579,9.519,61.3687944527132,50.9258613586426,70,"MAC-LWP",2,-11
"71",73.982,10.246,53.9668307885891,47.9121074676514,61.0096569061279,"MAC-LWP",3,-10
"72",70.844,13.724,47.0844703473543,41.2299957275391,51.2299957275391,"MAC-LWP",-3,-4
"73",70.383,14.214,36.846682297556,30.3400001525879,41.2299957275391,"MAC-LWP",-2,-3
"74",69.942,14.697,25.9524987538656,20.3399982452393,30.3400001525879,"MAC-LWP",-1,-2
"75",69.531,15.197,22.839398765564,20.3399982452393,27.8399996757507,"MAC-LWP",0,-1
"76",71.798,12.702,50.827103501872,41.2299957275391,63.5200004577637,"MAC-LWP",-3,-6
"77",71.306,13.209,48.653313536393,41.0100021362305,61.0099945068359,"MAC-LWP",-2,-5
"78",70.844,13.724,43.5328858400646,33.3899993896484,51.0099983215332,"MAC-LWP",-1,-4
"79",70.383,14.214,39.1392874529487,30.3400001525879,44.7867469787598,"MAC-LWP",0,-3
"80",69.942,14.697,37.1579736976624,23.3899993896484,48.2689971923828,"MAC-LWP",1,-2
"81",69.531,15.197,33.730979494615,20.3399982452393,47.8369979858398,"MAC-LWP",2,-1
"82",69.141,15.684,27.0626350749623,16.2589979171753,31.2589979171753,"MAC-LWP",3,0
"83",73.401,10.929,56.3238518081025,50,61.9160995483398,"MAC-LWP",-3,-9
"84",72.843,11.563,55.3766455766631,47.9400024414062,63.5200004577637,"MAC-LWP",-2,-8
"85",72.312,12.163,55.061648774147,43.7600021362305,63.5200004577637,"MAC-LWP",-1,-7
"86",71.798,12.702,56.0035848241103,43.7600021362305,63.7599983215332,"MAC-LWP",0,-6
"87",71.306,13.209,50.7453761665445,41.1749973297119,61.0099945068359,"MAC-LWP",1,-5
"88",70.844,13.724,40.9134680158214,31.9444284439087,50.3399963378906,"MAC-LWP",2,-4
"89",70.383,14.214,37.5188035776741,23.459321975708,43.3899993896484,"MAC-LWP",3,-3
"90",74.579,9.519,55.7365604057131,50,60,"MAC-LWP",-3,-11
"91",73.982,10.246,56.6666705713863,50,60,"MAC-LWP",-2,-10
"92",73.401,10.929,55.1422398522728,47.9400024414062,60,"MAC-LWP",-1,-9
"93",72.843,11.563,48.9575194627225,40.3399963378906,53.5199966430664,"MAC-LWP",0,-8
"94",72.312,12.163,46.8948254995788,40.3399963378906,50.3399963378906,"MAC-LWP",1,-7
"95",71.798,12.702,44.0728818268335,37.4829978942871,48.5792140960693,"MAC-LWP",2,-6
"96",71.306,13.209,34.5361785135771,25.0349998474121,37.8369979858398,"MAC-LWP",3,-5
