"","time","cod","trel"
"283",99720,0,-14.3
"284",99780,0,-14.2833333333333
"285",99840,0,-14.2666666666667
"286",99900,0,-14.25
"287",99960,0,-14.2333333333333
"288",100020,0,-14.2166666666667
"289",100080,0,-14.2
"290",100140,0,-14.1833333333333
"291",100200,0,-14.1666666666667
"292",100260,0,-14.15
"293",100320,0,-14.1333333333333
"294",100380,0,-14.1166666666667
"295",100440,0,-14.1
"296",100500,0,-14.0833333333333
"297",100560,0,-14.0666666666667
"298",100620,0,-14.05
"299",100680,0,-14.0333333333333
"300",100740,0,-14.0166666666667
"301",100800,0,-14
"302",100860,0,-13.9833333333333
"303",100920,0,-13.9666666666667
"304",100980,0,-13.95
"305",101040,0,-13.9333333333333
"306",101100,0,-13.9166666666667
"307",101160,0,-13.9
"308",101220,0,-13.8833333333333
"309",101280,0,-13.8666666666667
"310",101340,0,-13.85
"311",101400,0,-13.8333333333333
"312",101460,0,-13.8166666666667
"313",101520,0,-13.8
"314",101580,0,-13.7833333333333
"315",101640,0,-13.7666666666667
"316",101700,0,-13.75
"317",101760,0,-13.7333333333333
"318",101820,0,-13.7166666666667
"319",101880,0,-13.7
"320",101940,0,-13.6833333333333
"321",102000,0,-13.6666666666667
"322",102060,0,-13.65
"323",102120,0,-13.6333333333333
"324",102180,0,-13.6166666666667
"325",102240,0,-13.6
"326",102300,0,-13.5833333333333
"327",102360,0,-13.5666666666667
"328",102420,0,-13.55
"329",102480,0,-13.5333333333333
"330",102540,0,-13.5166666666667
"331",102600,0,-13.5
"332",102660,0,-13.4833333333333
"333",102720,0,-13.4666666666667
"334",102780,0,-13.45
"335",102840,0,-13.4333333333333
"336",102900,0,-13.4166666666667
"337",102960,0,-13.4
"338",103020,0,-13.3833333333333
"339",103080,0,-13.3666666666667
"340",103140,0,-13.35
"341",103200,0,-13.3333333333333
"342",103260,0,-13.3166666666667
"343",103320,0,-13.3
"344",103380,0,-13.2833333333333
"345",103440,0,-13.2666666666667
"346",103500,0,-13.25
"347",103560,0,-13.2333333333333
"348",103620,0,-13.2166666666667
"349",103680,0,-13.2
"350",103740,0,-13.1833333333333
"351",103800,0,-13.1666666666667
"352",103860,0,-13.15
"353",103920,0,-13.1333333333333
"354",103980,0,-13.1166666666667
"355",104040,0,-13.1
"356",104100,0,-13.0833333333333
"357",104160,0,-13.0666666666667
"358",104220,0,-13.05
"359",104280,0,-13.0333333333333
"360",104340,0,-13.0166666666667
"361",104400,0,-13
"362",104460,0,-12.9833333333333
"363",104520,0,-12.9666666666667
"364",104580,0,-12.95
"365",104640,0,-12.9333333333333
"366",104700,0,-12.9166666666667
"367",104760,0,-12.9
"368",104820,0,-12.8833333333333
"369",104880,0,-12.8666666666667
"370",104940,0,-12.85
"371",105000,0,-12.8333333333333
"372",105060,0,-12.8166666666667
"373",105120,0,-12.8
"374",105180,0,-12.7833333333333
"375",105240,0,-12.7666666666667
"376",105300,0,-12.75
"377",105360,0,-12.7333333333333
"378",105420,0,-12.7166666666667
"379",105480,0,-12.7
"380",105540,0,-12.6833333333333
"381",105600,0,-12.6666666666667
"382",105660,0,-12.65
"383",105720,0,-12.6333333333333
"384",105780,0,-12.6166666666667
"385",105840,0,-12.6
"386",105900,0,-12.5833333333333
"387",105960,0,-12.5666666666667
"388",106020,0,-12.55
"389",106080,0,-12.5333333333333
"390",106140,0,-12.5166666666667
"391",106200,0,-12.5
"392",106260,0,-12.4833333333333
"393",106320,0,-12.4666666666667
"394",106380,0,-12.45
"395",106440,0,-12.4333333333333
"396",106500,0,-12.4166666666667
"397",106560,0,-12.4
"398",106620,0,-12.3833333333333
"399",106680,0,-12.3666666666667
"400",106740,0,-12.35
"401",106800,0,-12.3333333333333
"402",106860,0,-12.3166666666667
"403",106920,0,-12.3
"404",106980,0,-12.2833333333333
"405",107040,0,-12.2666666666667
"406",107100,0,-12.25
"407",107160,0,-12.2333333333333
"408",107220,0,-12.2166666666667
"409",107280,0,-12.2
"410",107340,0,-12.1833333333333
"411",107400,0,-12.1666666666667
