"","time","lwp","cth","trel"
"356",1420,NA,4750,-17.6055555555556
"357",1424,NA,4750,-17.6044444444444
"358",1428,NA,4750,-17.6033333333333
"359",1432,NA,4750,-17.6022222222222
"360",1436,NA,4750,-17.6011111111111
"361",1440,NA,4750,-17.6
"362",1444,NA,4750,-17.5988888888889
"363",1448,NA,4750,-17.5977777777778
"364",1452,NA,4750,-17.5966666666667
"365",1456,NA,4750,-17.5955555555556
"366",1460,NA,4780,-17.5944444444444
"367",1464,NA,4780,-17.5933333333333
"368",1468,NA,4780,-17.5922222222222
"369",1472,16.0046195983887,4780,-17.5911111111111
"370",1476,16.0046195983887,4750,-17.59
"371",1480,16.0046195983887,4750,-17.5888888888889
"372",1484,16.0046195983887,4750,-17.5877777777778
"373",1488,16.0046195983887,4750,-17.5866666666667
"374",1492,5.88766384124756,4750,-17.5855555555556
"375",1496,5.88766384124756,4780,-17.5844444444444
"376",1500,5.88766384124756,4780,-17.5833333333333
"377",1504,5.88766384124756,4780,-17.5822222222222
"378",1508,5.88766384124756,4780,-17.5811111111111
"379",1512,58.212085723877,4780,-17.58
"380",1516,58.212085723877,4780,-17.5788888888889
"381",1520,58.212085723877,4780,-17.5777777777778
"382",1524,58.212085723877,4780,-17.5766666666667
"383",1528,58.212085723877,4780,-17.5755555555556
"384",1532,91.0514755249023,4780,-17.5744444444444
"385",1536,91.0514755249023,4780,-17.5733333333333
"386",1540,91.0514755249023,4780,-17.5722222222222
"387",1544,91.0514755249023,4780,-17.5711111111111
"388",1548,91.0514755249023,4780,-17.57
"389",1552,28.1479244232178,4780,-17.5688888888889
"390",1556,28.1479244232178,4780,-17.5677777777778
"391",1560,28.1479244232178,4780,-17.5666666666667
"392",1564,28.1479244232178,4780,-17.5655555555556
"393",1568,28.1479244232178,4780,-17.5644444444444
"394",1572,NA,4780,-17.5633333333333
"395",1576,NA,4780,-17.5622222222222
"396",1580,NA,4780,-17.5611111111111
"397",1584,NA,4780,-17.56
"398",1588,NA,4780,-17.5588888888889
"399",1592,NA,4780,-17.5577777777778
"400",1596,NA,4780,-17.5566666666667
"401",1600,NA,4780,-17.5555555555556
"402",1604,NA,4780,-17.5544444444444
"403",1608,NA,4780,-17.5533333333333
"404",1612,NA,4780,-17.5522222222222
"405",1616,NA,4780,-17.5511111111111
"406",1620,NA,4780,-17.55
"407",1624,NA,4780,-17.5488888888889
"408",1628,NA,4780,-17.5477777777778
"409",1632,NA,4780,-17.5466666666667
"410",1636,NA,4780,-17.5455555555556
"411",1640,NA,4810,-17.5444444444444
"412",1644,NA,4780,-17.5433333333333
"413",1648,NA,4780,-17.5422222222222
"414",1652,NA,4780,-17.5411111111111
"415",1656,NA,4780,-17.54
"416",1660,NA,4780,-17.5388888888889
"417",1664,NA,4780,-17.5377777777778
"418",1668,NA,4780,-17.5366666666667
"419",1672,NA,4780,-17.5355555555556
"420",1676,NA,4810,-17.5344444444444
