"","time","lwp","trel"
"3506",72520,32.8151397705078,2.14444444444444
"3507",72540,32.8823661804199,2.15
"3508",72560,33.2033996582031,2.15555555555556
"3509",72580,33.1260643005371,2.16111111111111
"3510",72600,33.1260643005371,2.16666666666667
"3511",72620,34.177978515625,2.17222222222222
"3512",72640,37.7058944702148,2.17777777777778
"3513",72660,37.7058944702148,2.18333333333333
"3514",72680,39.0336227416992,2.18888888888889
"3515",72700,40.9491577148438,2.19444444444444
"3516",72720,44.369758605957,2.2
"3517",72740,44.369758605957,2.20555555555556
"3518",72760,46.9152679443359,2.21111111111111
"3519",72780,50.008415222168,2.21666666666667
"3520",72800,50.008415222168,2.22222222222222
"3521",72820,53.3135643005371,2.22777777777778
"3522",72840,54.9067878723145,2.23333333333333
"3523",72860,57.1680717468262,2.23888888888889
"3524",72880,57.1680755615234,2.24444444444444
"3525",72900,58.2542457580566,2.25
"3526",72920,58.3613510131836,2.25555555555556
"3527",72940,58.3613510131836,2.26111111111111
"3528",72960,58.9406852722168,2.26666666666667
"3529",72980,59.0762825012207,2.27222222222222
"3530",73000,58.5966453552246,2.27777777777778
"3531",73020,58.5966453552246,2.28333333333333
"3532",73040,59.059326171875,2.28888888888889
"3533",73060,58.7226867675781,2.29444444444444
"3534",73080,58.7226867675781,2.3
"3535",73100,56.7542343139648,2.30555555555556
"3536",73120,52.6302604675293,2.31111111111111
"3537",73140,49.4033622741699,2.31666666666667
"3538",73160,49.4033622741699,2.32222222222222
"3539",73180,48.0847434997559,2.32777777777778
"3540",73200,46.7058792114258,2.33333333333333
"3541",73220,46.7058792114258,2.33888888888889
"3542",73240,46.1176414489746,2.34444444444444
"3543",73260,45.1333274841309,2.35
"3544",73280,44.4166603088379,2.35555555555556
"3545",73300,44.4166603088379,2.36111111111111
"3546",73320,44.2857093811035,2.36666666666667
"3547",73340,43.8083229064941,2.37222222222222
"3548",73360,43.8083229064941,2.37777777777778
"3549",73380,43.9999961853027,2.38333333333333
"3550",73400,43.5416641235352,2.38888888888889
"3551",73420,43.5416641235352,2.39444444444444
"3552",73440,43.4166717529297,2.4
"3553",73460,43.6218452453613,2.40555555555556
"3554",73480,43.1000022888184,2.41111111111111
"3555",73500,43.1000022888184,2.41666666666667
"3556",73520,43.285717010498,2.42222222222222
"3557",73540,42.8666725158691,2.42777777777778
"3558",73560,42.8666725158691,2.43333333333333
"3559",73580,42.766674041748,2.43888888888889
"3560",73600,42.9831924438477,2.44444444444444
"3561",73620,42.6166687011719,2.45
"3562",73640,42.6166687011719,2.45555555555556
"3563",73660,42.8991622924805,2.46111111111111
"3564",73680,42.5000038146973,2.46666666666667
"3565",73700,42.5000038146973,2.47222222222222
"3566",73720,42.7311019897461,2.47777777777778
"3567",73740,42.7311019897461,2.48333333333333
"3568",73760,42.3750076293945,2.48888888888889
