"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"24",73.1013546365317,10.830709932391,0.69022154316272,3102.52100840336,-24.2196507979741,64.2674737353969,71.8588972827135,0,-8.5,77.842666157372,-28.1700021229684,-20.7500022888183,1.01249997736886,149.999996647239,2.92587138908191,79.9651090662699,2550,3500,0.552325581395349,0.76431855500821,19.2899995688349,"MODIS"
"25",72.55276479226,11.5763347869715,0.655297532656023,3015.82002902758,-23.3705464972994,57.0863231071852,76.5477953900686,1,-7.5,77.2482692307692,-27.1000021468848,-18.4000023413449,0,149.999996647239,2.49345640351798,70.812590691713,2350,3500,0.510752688172043,0.741829138603332,12.2499997261912,"MODIS"
"26",71.9974282769684,12.2874626599182,0.579730197163611,2917.38152888274,-22.515432896194,51.1408290194869,79.6577989402096,2,-6.5,76.648751297129,-28.5600021142512,-14.2500024341047,0,149.999996647239,2.75729135483001,68.5332148091883,2100,3750,0.449007314524556,0.714581791265729,6.53999985381961,"MODIS"
"27",71.4473783359337,12.9144332082705,0.592387768379961,3400.66688353936,-26.2722045076123,45.9245793248394,46.4890050139586,3,-5.5,76.0647332465843,-33.4600020047277,-15.9800023954361,0,149.999996647239,1.58521306866703,34.4335512124672,2300,4500,0.393161814488829,0.850595437371466,6.49499985482544,"MODIS"
"28",73.9049890929468,9.96883036595348,0,NA,NA,NA,NA,-3,-9.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"29",73.8568196039896,10.0128219380279,0.691401191401191,2886.49350649351,-23.6348545863435,48.1761449993253,166.25987549717,-3,-9.83333333333333,76.5536350686351,-26.5900021582842,-15.5200024057179,0.989999977871775,134.439996995032,5.36015193412187,175.732845555124,2100,3300,0.587037037037037,0.78986051064524,11.5599997416139,"MODIS"
"30",73.283868021789,10.5787284166452,0.654429760156632,2932.65293460727,-23.470385205121,46.1216252539765,138.721243864145,-2,-8.83333333333333,75.969610866373,-26.9300021506846,-13.6300024479627,0,120.327497310471,3.0147807183219,132.917952714887,1900,3550,0.553076203208556,0.737455285309645,8.36999981291592,"MODIS"
"31",72.7359779698504,11.3312330663302,0.637196195843607,3038.29736211031,-23.8481717056268,47.2004979469826,122.216027138076,-1,-7.83333333333333,75.4077081131854,-28.1300021238625,-13.3200024548918,0,149.999996647239,2.43556165204322,111.658507456792,1900,3750,0.524922724468076,0.727654926984906,8.09999981895089,"MODIS"
"32",72.1844394429057,12.0584791319284,0.556465178871818,2607.82547666394,-20.1341549309349,38.095891264673,139.098031309308,0,-6.83333333333333,74.846101827969,-26.5200021598488,-10.1900025248527,0,44.2899990100413,2.28181379511786,108.470989404714,1200,3550,0.454332306516167,0.657672849915683,4.42999990098178,"MODIS"
"33",71.6270671306862,12.7254363706921,0.535779816513761,2612.5183678083,-19.4848321983036,34.5151562711597,129.022027143345,1,-5.83333333333333,74.2806929303832,-26.4100021623075,-9.9800025295466,0,30.6799993142486,1.78746091357795,98.9130546433744,1200,3750,0.418049235155436,0.634316392229773,3.68999991752207,"MODIS"
"34",71.0950828795454,13.2810568726761,0.571007784557122,3092.34513274336,-23.054490846319,33.0928542992398,78.4777752629553,2,-4.83333333333333,73.7439743320008,-32.8600020181387,-9.07000254988668,0,24.3024994567968,1.00668033248885,38.0684736897839,1400,4250,0.419868852459016,0.689880034956701,4.59999989718199,"MODIS"
"35",70.605781560075,13.7783946313547,0.579582077138996,3513.20651579753,-26.9123837604692,32.5570467824295,33.1241480111894,3,-3.83333333333333,73.2519555047302,-37.1400019224733,-16.0100023947656,0,25.0249994406477,0.835500116586545,13.2608449076957,2350,4500,0.314421939680662,0.819494468222563,5.05999988690019,"MODIS"
"36",72.9644695975886,11.0196960692003,0.536409752904598,2549.68857564334,-20.6407452093524,39.6555366688579,184.221226198549,-3,-8.25,76.7107887416135,-25.9100021734833,-11.210002502054,0,55.3549987627193,2.95058360638766,172.586245211811,1450,3500,0.434782608695652,0.634615384615385,3.83999991416931,"MODIS"
"37",72.4153549090672,11.7601610774525,0.504265908282972,2552.11380663575,-20.2833616922342,36.1626724942253,127.842749825766,-2,-7.25,76.2846853892641,-26.1600021678954,-11.1000025045126,0,34.6499992255121,2.73320448306183,104.249029389687,1450,3550,0.391374286047325,0.601705093038772,2.66499994043261,"MODIS"
"38",71.8571699025154,12.4592003059106,0.49430171914236,2756.219771716,-21.293618266231,35.6606134582834,91.1646464397653,-1,-6.25,75.8536333784045,-27.9000021290034,-9.89000253155825,0,30.4699993189424,1.48952669578852,98.3556926671251,1650,3800,0.381101556101556,0.612020015228979,2.30999994836748,"MODIS"
"39",71.3126117398693,13.0561808364542,0.423608204269569,2426.76852239431,-18.4848662992632,28.1547000822882,52.7123205626942,0,-5.25,75.4295709501884,-26.0400021705776,-8.68000255860386,0,14.2299996819347,0.997604720672504,33.6589777633184,1000,3800,0.27639751552795,0.577777777777778,0,"MODIS"
"40",70.8054149546369,13.5720063008095,0.396461782717169,2676.77477886142,-20.0335904200499,24.9780194008722,37.4510764191586,1,-4.25,75.0356611476525,-29.4400020945817,-8.49000256285069,0,11.749999737367,1.30972223325706,21.5002944834714,1200,4000,0.197097737942808,0.57318630144154,0,"MODIS"
"41",70.341566566471,14.0643296460628,0.437161163134549,3350.99802858551,-25.2883388064015,24.8082793863493,13.3514739347553,2,-3.25,74.6837900443568,-34.710001976788,-12.5000024732202,0,12.2174997269176,0.578079545689641,10.9129399211525,2100,4550,0.210647307924985,0.637450199203187,0.879999980330467,"MODIS"
"42",69.91570606022,14.5764044855521,0.456046883324454,3591.58231220032,-28.0637234892212,24.2909531064955,5.90278985243559,3,-2.25,74.3730687266915,-36.7300019316375,-17.7200023565441,0,12.9649997102097,0.469170612407339,7.36888851050822,2600,4550,0.187400398406375,0.688396849052587,1.31499997060746,"MODIS"
"43",72.0441810684528,12.2302167779207,0.360166288737717,2635.58201058201,-20.2244656414579,36.2340657056006,146.952005422863,-3,-6.58333333333333,80.2288397581255,-26.0200021710247,-11.8100024886429,0,32.8199992664158,1.3877936754788,104.655177196562,1650,3550,0.254237288135593,0.480957022596367,0,"MODIS"
