"","lat","lon","cth","ctt","cod","nd","sat","tdiff","time.rel"
"98",77.0164,7.2596,1352.90058047493,247.014110058213,NA,NA,"VIIRS",-3,-14.6
"99",76.2518,7.784,1842.63723797781,246.807525566127,NA,NA,"VIIRS",-2,-13.6
"100",75.5758,8.4058,2092.24813506086,246.05639082156,NA,NA,"VIIRS",-1,-12.6
"101",74.9456,9.0948,2180.87201350781,246.22113179865,NA,NA,"VIIRS",0,-11.6
"102",74.3402,9.8098,2165.76023604176,246.586979195117,NA,NA,"VIIRS",1,-10.6
"103",73.7496,10.5192,2570.60992021532,244.129314226396,NA,NA,"VIIRS",2,-9.6
"104",73.1778,11.1826,3032.12830928701,238.256752282721,NA,NA,"VIIRS",3,-8.6
"105",75.833,8.135,1578.18405929874,250.098814253145,NA,NA,"VIIRS",-3,-13
"106",75.19,8.812,1778.54944733182,249.281376150392,NA,NA,"VIIRS",-2,-12
"107",74.579,9.519,2081.39797886292,247.347249538029,NA,NA,"VIIRS",-1,-11
"108",73.982,10.246,2185.57359623499,247.00678207905,NA,NA,"VIIRS",0,-10
"109",73.401,10.929,2133.38906088751,247.589730400299,NA,NA,"VIIRS",1,-9
"110",72.843,11.563,2293.68009632305,247.784748040478,NA,NA,"VIIRS",2,-8
"111",72.312,12.163,3011.95966608084,243.461273165921,NA,NA,"VIIRS",3,-7
"112",74.7623,9.3069,1857.31750500037,247.568191039558,19.6658683958441,NA,"VIIRS",-3,-11.3
"113",74.1611,10.0279,2198.19977686872,245.49617312744,21.2247589160452,NA,"VIIRS",-2,-10.3
"114",73.5753,10.7241,2388.88985856154,243.906579650469,23.176977314987,NA,"VIIRS",-1,-9.3
"115",73.0104,11.3728,2587.26123813968,241.307780291523,22.6422093466494,NA,"VIIRS",0,-8.3
"116",72.4713,11.983,2580.89435669498,241.990568229877,20.1525935433683,NA,"VIIRS",1,-7.3
"117",71.9522,12.5403,2703.75202445877,235.072969163818,18.878578296162,NA,"VIIRS",2,-6.3
"118",71.4536,13.0569,3198.7093649085,235.079965071418,21.1626935703419,NA,"VIIRS",3,-5.3
"119",72.6837,11.743,NA,NA,NA,NA,"VIIRS",-1,-7.7
"120",72.1578,12.3247,NA,NA,NA,NA,"VIIRS",0,-6.7
"121",71.6504,12.8541,2892.47909783077,231.046316993791,24.2743437753173,NA,"VIIRS",1,-5.7
"122",71.1674,13.3635,3324.46236718924,226.624683688421,22.6930644152595,NA,"VIIRS",2,-4.7
"123",70.7057,13.871,3622.76719892553,223.979360820324,22.6279718917415,NA,"VIIRS",3,-3.7
"124",73.7496,10.5192,2287.66039460654,244.223651325811,26.7878846153846,NA,"VIIRS",-3,-9.6
"125",73.1778,11.1826,2703.10127063836,237.69469220699,26.8370270867069,NA,"VIIRS",-2,-8.6
"126",72.6306,11.803,3048.34830684174,234.103111138518,27.19205511753,NA,"VIIRS",-1,-7.6
"127",72.1064,12.3786,2749.28352490421,228.485383926134,22.9235366471312,NA,"VIIRS",0,-6.6
"128",71.6012,12.9048,2452.99214806506,228.083800825498,19.8918980848153,NA,"VIIRS",1,-5.6
"129",71.1212,13.415,NA,NA,NA,NA,"VIIRS",2,-4.6
"130",70.6596,13.92,NA,NA,NA,NA,"VIIRS",3,-3.6
"131",72.843,11.563,2127.9918657482,250.426824620547,30.4471545727466,NA,"VIIRS",-3,-8
"132",72.312,12.163,2361.03060231949,248.46900600035,28.750748603352,NA,"VIIRS",-2,-7
"133",71.798,12.702,2888.98110487176,244.998911889293,31.4894544078698,NA,"VIIRS",-1,-6
"134",71.306,13.209,2561.7407120743,246.638627572548,29.7771706230314,NA,"VIIRS",0,-5
"135",70.844,13.724,2729.26276216858,245.871342172076,28.3320866761051,NA,"VIIRS",1,-4
"136",70.383,14.214,3617.43560116354,240.101900485588,30.1061580095323,NA,"VIIRS",2,-3
"137",69.942,14.697,3936.1041736227,236.803147710571,30.36833000333,NA,"VIIRS",3,-2
"138",84.4588,3.6976,6333.5,5.30537471072017,NA,NA,"VIIRS",-3,-22.2
"139",83.4562,3.773,6346.04545454545,26.5844123419165,NA,NA,"VIIRS",-2,-21.2
"140",82.4382,4.2278,6351.02844311377,32.4743576831527,NA,NA,"VIIRS",-1,-20.2
"141",81.4092,4.8054,6467.89963408259,89.8246020834893,NA,NA,"VIIRS",0,-19.2
"142",80.391,5.3752,7104.79915433404,160.477565071094,NA,NA,"VIIRS",1,-18.2
"143",79.412,5.9832,NA,0,NA,NA,"VIIRS",2,-17.2
"144",78.4404,6.4918,NA,NA,NA,NA,"VIIRS",3,-16.2
"145",86.1041,5.2911,5206.47624309392,131.466105042423,NA,NA,"VIIRS",3,-23.9
"146",83.6574,3.731,6089.85714285714,1.85976390633992,NA,NA,"VIIRS",-3,-21.4
"147",82.6424,4.1246,6303.49096880131,23.8833668708336,NA,NA,"VIIRS",-2,-20.4
"148",81.6154,4.6868,6732.23148148148,49.4794456709601,NA,NA,"VIIRS",-1,-19.4
"149",80.594,5.2624,6627.66576819407,62.0022012746769,NA,NA,"VIIRS",0,-18.4
"150",79.606,5.8594,6213.80187525479,158.008755755363,NA,NA,"VIIRS",1,-17.4
"151",78.6348,6.3956,5605.19650793651,196.952194244938,NA,NA,"VIIRS",2,-16.4
"152",77.7024,6.8748,5216.24362161455,227.569511004827,NA,NA,"VIIRS",3,-15.4
"153",78.5376,6.4437,NA,NA,NA,NA,"VIIRS",2,-16.3
"154",77.6118,6.9226,NA,NA,NA,NA,"VIIRS",3,-15.3
