# Hour    Lat      Lon
12.00000 71.87000 12.68200
12.08333 71.82800 12.72508
12.16667 71.78600 12.76817
12.25000 71.74400 12.81125
12.33333 71.70200 12.85433
12.41667 71.66000 12.89742
12.50000 71.61800 12.94050
12.58333 71.57600 12.98358
12.66667 71.53400 13.02667
12.75000 71.49200 13.06975
12.83333 71.45000 13.11283
12.91667 71.40800 13.15592
13.00000 71.36600 13.19900
13.08333 71.32667 13.24167
13.16667 71.28733 13.28433
13.25000 71.24800 13.32700
13.33333 71.20867 13.36967
13.41667 71.16933 13.41233
13.50000 71.13000 13.45500
13.58333 71.09067 13.49767
13.66667 71.05133 13.54033
13.75000 71.01200 13.58300
13.83333 70.97267 13.62567
13.91667 70.93333 13.66833
14.00000 70.89400 13.71100
14.08333 70.85442 13.75167
14.16667 70.81483 13.79233
14.25000 70.77525 13.83300
14.33333 70.73567 13.87367
14.41667 70.69608 13.91433
14.50000 70.65650 13.95500
14.58333 70.61692 13.99567
14.66667 70.57733 14.03633
14.75000 70.53775 14.07700
14.83333 70.49817 14.11767
14.91667 70.45858 14.15833
15.00000 70.41900 14.19900
15.08333 70.38092 14.23883
15.16667 70.34283 14.27867
15.25000 70.30475 14.31850
15.33333 70.26667 14.35833
15.41667 70.22858 14.39817
15.50000 70.19050 14.43800
15.58333 70.15242 14.47783
15.66667 70.11433 14.51767
15.75000 70.07625 14.55750
15.83333 70.03817 14.59733
15.91667 70.00008 14.63717
16.00000 69.96200 14.67700
16.08333 69.92692 14.71917
16.16667 69.89183 14.76133
16.25000 69.85675 14.80350
16.33333 69.82167 14.84567
16.41667 69.78658 14.88783
16.50000 69.75150 14.93000
16.58333 69.71642 14.97217
16.66667 69.68133 15.01433
16.75000 69.64625 15.05650
16.83333 69.61117 15.09867
16.91667 69.57608 15.14083
17.00000 69.54100 15.18300
17.08333 69.50767 15.22475
17.16667 69.47433 15.26650
17.25000 69.44100 15.30825
17.33333 69.40767 15.35000
17.41667 69.37433 15.39175
17.50000 69.34100 15.43350
17.58333 69.30767 15.47525
17.66667 69.27433 15.51700
17.75000 69.24100 15.55875
17.83333 69.20767 15.60050
17.91667 69.17433 15.64225
18.00000 69.14128 15.68417
